name,url
2018年奇幻冒险《伏地魔：传人的起源》HD中英双字幕,ftp://ygdy8:ygdy8@yg72.dydytt.net:8129/[阳光电影www.ygdy8.net].伏地魔：传人的起源.HD.720p.中英双字幕.mkv
2017年高分战争《敦刻尔克》BD国英双语中英双字幕,ftp://ygdy8:ygdy8@yg45.dydytt.net:3030/[阳光电影www.ygdy8.net].敦刻尔克.BD.720p.国英双语.中英双字幕.mkv
2017年高分悬疑《看不见的客人》BD国西双语中英双字幕,ftp://ygdy8:ygdy8@yg72.dydytt.net:7028/[阳光电影www.ygdy8.net].看不见的客人.BD.720p.国语.西班牙语.中英双字幕.mkv
2017年高分剧情《再见，克里斯托弗・罗宾》BD中英双字幕,ftp://ygdy8:ygdy8@yg72.dydytt.net:8128/[阳光电影www.ygdy8.net].再见，克里斯托弗・罗宾.BD.720p.中英双字幕.mkv
2017年传记剧情《马斯顿教授与神奇女侠》BD中英双字幕,ftp://ygdy8:ygdy8@yg45.dydytt.net:6054/[阳光电影www.ygdy8.com].马斯顿教授与神奇女侠.BD.720p.中英双字幕.mkv
2017年剧情《巨额来电/反诈风暴》HD国语中字,ftp://ygdy8:ygdy8@yg72.dydytt.net:8125/[阳光电影www.ygdy8.net].巨额来电.HD.720p.国语中字.rmvb
2017年惊悚动作《斯特拉顿》BD中英双字幕,ftp://ygdy8:ygdy8@yg45.dydytt.net:3027/[阳光电影www.ygdy8.com].斯特拉顿.BD.720p.中英双字幕.mkv
2017年喜剧《猪太郎的夏天》HD国语中英双字,ftp://ygdy8:ygdy8@yg72.dydytt.net:7027/[阳光电影www.ygdy8.net].猪太郎的夏天.HD.1080p.国语中字.mkv
2017年悬疑恐怖《电锯惊魂8：竖锯》BD中英双字幕,ftp://ygdy8:ygdy8@yg90.dydytt.net:8239/[阳光电影www.ygdy8.net].电锯惊魂8：竖锯.BD.720p.中英双字幕.rmvb
2017年获奖剧情《寂静中的惊奇》BD中英双字幕,ftp://ygdy8:ygdy8@yg45.dydytt.net:6052/[阳光电影www.ygdy8.net].寂静中的惊奇.BD.720p.中英双字幕.rmvb
2017年传记剧情《马克・费尔特：扳倒白宫之人》BD中英双字幕,ftp://ygdy8:ygdy8@yg72.dydytt.net:7026/[阳光电影www.ygdy8.net].马克・费尔特：扳倒白宫之人.BD.720p.中英双字幕.mkv
2017年动作冒险《太空救援》BD俄语中字,ftp://ygdy8:ygdy8@yg45.dydytt.net:3026/[阳光电影www.ygdy8.net].太空救援.BD.720p.俄语中字.mkv
